,query,intent
1815,i want the name of your boss,57
1563,tell me the calorie content of frosted flakes,135
2864,can you suggest a mexican dish,46
1229,let me know the amount of vacation days i have used,148
3036,does hypnosis work to break bad habits,42
2124,can you reserve a hotel for myself a hotel in afghanistan at the zoo for the 10th to the 15th,116
2141,can you tell me where i am,136
279,will it take more than a month to get a new card,90
958,what can i do in hong kong,149
364,i want you to call me a different name so can you call me charchar,144
2461,how can up my credit limit,109
2307,what number of pto days do i have left,126
321,when am i boarding my flight,80
2424,how do i set up direct deposit for my bank of america account,108
830,"i need a new credit card, show me suggestions",91
648,what is the time zone of china,66
1341,apple cider has been in my fridge for four months so can i still drink it,54
804,what's my current credit score,69
2399,change to factory settings,88
441,i can't give you an answer to that,121
891,what is the mpg for this car,142
3079,what does it mean if i dream of falling off a building,42
2453,where do i find the interest rate for my platinum account,7
1781,adjust the volume to level 4,150
1590,i broke my card trying to do a magic trick,87
137,can you find me my phone,81
2689,how much gas do i have,110
1678,can you please set up a meeting for 3:00 on wednesday,18
767,did i spend too much dough on donuts last week,71
2962,"i am now out of checks, how do i order new ones",127
572,due to getting a new job i need assistance with my 401k rollover,100
946,what is there to do in craberra,149
258,what is my pay,79
1912,i want a new pin on my card of private client account,89
2600,cash in my credit card rewards,6
902,can you tell me when i should change my oil,123
2356,tell me how to spell malignant,73
989,put laundry on my list of things to do,65
2340,spell: dessert,73
395,what country are you from,77
1307,i'm thankful for your help,124
1051,is my tire pressure okay on my car,98
2818,how old are you ai,99
732,how do i check my rewards for my chase card,50
850,what can i do if i lost my luggage,113
2211,what would be the least i could pay on this bill,143
778,how much have i spent on eating out recently,71
619,how long would it take to get to mcdonald's in houston,78
177,what are the steps required for making a vacation request,97
2648,add swimming to my calendar today,105
775,would you mind telling me how much i have spent recently on grocery shopping,71
1936,"it was a pleasure talking to you, goodbye now",114
2658,can you remove this event from my calendar,105
1830,tell me the highest amount i can spend on my discover card,41
3029,who are some famous living architects,42
1686,can you tell me what kind of gas this car uses,8
1975,what's that song that is playing now,21
3050,how the birds fly,42
422,can you tell me what i can ask the ai,115
1727,how long before i need to replace my tires,47
2719,tell me when my credit card expires,44
1528,so where do i get the w2 form,122
1587,my card is impaired and i can't use it,87
1523,who should i call for a w2,122
156,how safe is visiting canada this week,128
2744,forget reservation at longhorn for 4,67
1498,does my todo list have vacuuming on it,48
2883,find instructions on baking lemon cake,104
2924,make an order of bread because i am out,16
940,what's the best place to visit in arizona,149
1428,can i modify the apples for grapes,134
1413,my disney visa card is stolen,12
67,what does idiosyncratic mean,139
