,query,Response
397,I'm 17 and I'm sick and tired of going back and forth. I'd like to stay at my mother's house. This problem has really affected me. I've had anxiety attacks and suicidal thoughts and self-harm in the past.    Currently I'm going through anxiety and my thearapist is not available. How do I handle this?,"Have you told either of your parents that the current house rotation of where you stay, bothers you?Since each parent has an interest to be together with you, I imagine that to some degree, each cares how you feel.If these conversations are not getting your problem solved, then maybe your therapist can have a family session with your parents together and depending on the outcome, with you and each parent."
2927,"I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to.
I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","Consider talking with your boyfriend about times that you may be able to talk together while he is away. This way, you have an idea when you'll be able to contact him. Does he recognize the feelings that you have while he is away? How do you feel when you are together with him and he is home?I'm also curious as to how the level of your anxiety (on a scale of 1 to 10, perhaps) changes during the parts of his trips. Maybe there are certain parts that are more or less related to anxiety for you. Perhaps you have less anxiety while working or involved in a specific activity, for example, spending time with friends.When you are both in the same area (when your boyfriend is not traveling), do you do some things independently with friends? Do you know what leads to your anxiety when he is away? I don't know whether it is a general feeling of wanting him to come back or anxiety that something specific will happen to you or him.Do you ever recall feeling this way in your past? If so, what was happening then?What do you have that makes you feel very safe and comfortable?Consider working with a mental health professional in the area. Perhaps it would be helpful for the two of you to meet with a therapist who specializes in couples to see what kind of relationship you want to have and what you can each do to contribute to that relationship. There could be things that you could both start or stop doing to help your relationship move in the direction where you would like it to go. As an example, perhaps you would like a text before your boyfriend goes to bed, no matter what time zone or time of day it is. Perhaps he would prefer a good morning text or call/voicemail from you."
2527,"My husband and I are in a terrible place. Part of me wants to fix it, but then I'm caught up with not knowing how and not being able to communicate my feelings to him because he always feels I'm blaming him. Sometimes I am because the feelings of distrust are so strong. I feel they must be coming from something he's doing, but sometimes I know I'm being irrational. Still, that doesn't stop the anxiety. The other half of the time, I just want to walk away, but I feel like that will only be a temporary fix.","You may be pressuring yourself to be the one person who fixes the relationship.  This is impossible because the relationship belongs to both of you.Has he told you whether he feels about himself that how he interacts with you, is contributing to problems in the couple?Is he willing to understand what you're asking of him, without shutting down with whatever he is feeling when he feels blamed?Your feelings of distrust are the natural outcome of not being properly heard and understood.  He's not willing to listen to you, so of course you're frustrated and this frustration comes out in all sorts of uneasy feelings.Willingness to hear each other in a non-defensive way, sometimes requires a couples therapist's assistance.Ask your husband if he's willing to understand, not judge you.  Be willing yourself to do the same.If after trying and getting nowhere, you'll know when to stop trying on your own as a couple and to find a specifically trained couples therapists.Warning, not all therapists are trained to do couples therapy.  Ask the therapist if they've had specialized training in couples therapy.Otherwise, having a referee type therapy session of, ""what do you think"", ""what do you think?"", isn't going to do anything except frustrate both of you further.Good luck!"
478,"I am a peaceful person, but I often find myself having thoughts about killing people. Eventhough I like the thoughts at the time, they make me cry. Why do I feel like this?","Hello, and thank you for your question. Clearly this is something that has you very concerned. Sometimes thoughts are just thoughts, and they are pretty harmless. Many people have thoughts of killing someone, but they would never actually do it. They really don't even want to do it, they are just having a thought. Other times, thoughts are a sign of something more serious, and we should receive help when they start to worry us. I would recommend meeting with a counselor to discuss these thoughts. It is usually a safe environment where you can get advice with little judgement. Now, If you begin to start thinking about killing someone specific and making a plan to do it in reality- you should call for help immediately. By help, I mean 9-11, or a family member or friend. You would want to get help before doing something to harm yourself and others. Again, none of this is to judge, but rather to encourage you to get the help you're seeking. Either way, when we become concerned about some aspect of our behavior, seeking counseling is usually a good choice. Be well, Robin J. Landwehr, DBH, LPCC, NCC"
2156,"I'm having issues with my relative. The police never believe the experiences I have been through because I am only a kid. 

I've even had trouble trying to reach a therapist because I said I wanted to get an adult to help me. Could you please give me advice?","I think it would be wise for you to call a hotline especially designed for children. It's called the Childhelp National Child Abuse Hotline. The number is 1-800-4-A-CHILD (1-800-422-4453). It is completely anonymous and a trained therapist will be able to provide you with guidance, confidentiality, and can also help you make a report of you want.The call is completely free and they are open 24 hours a day / 7 days a week. I'm glad that you are taking steps to improve your situation. You are a very brave and an intelligent child. Please remember to call 911 if you are in immediate danger."
3202,We've been in a long distance relationship for two and a half years. I recently saw his phone and saw the people he texts the most and one of them was a  female coworker. I don't know how to approach this situation. How do I ask him about it?.,"The best way to get an answer is to just ask. I would defintely let him know you are asking out of concern and not to judge or criticize. Allow him to explain his answer and see how you feel about it. Try to ask him when you both are already discussing other topics and just say, ""Can I ask you something?"" Earl Lewiswww.RelationshipsGoneRight.com"
1480,"I love him, but he doesn’t show me love. He talks badly about me to his friends.","Hello, and thank you for your question. Loving someone who
doesn’t respect or treat you well can be enormously difficult and painful. 
Many people who find themselves in an emotionally hurtful
relationship say that it was wonderful when it first started, but that over
time their partner’s behaviors changed and they became emotionally or
physically abusive. 
I want to say right away that it is not your fault in any
way if someone is abusive to you. It does not mean that you are broken or that there
is something wrong with your character if you have not left the situation.
People stay for many reasons, such as fear, finances, children, pressure from
others, and love. 
Many people have had to leave their abusive partners who
they still love to preserve their own safety and regain the sense of self they
may have lost. It is a very difficult thing to do, even if you know it is the
right thing. 
The person who really needs to take a hard look at
themselves is the person doing the abusing.
It is very common for mental and emotional abuse to wear
away at someone’s self-esteem. This can lead to other problems, like depression
and anxiety. These issues sometimes require professional support to manage,
such as a counselor or perhaps a doctor who may prescribe medication. 
A counselor may be able to help you sort through your fears
and concerns about staying or leaving. To look at things from different angles,
and to help you decide what is best for you. 
You have not said that your husband has been physically abusive
to you, but if that has been the case, then you must consider your physical
safety first. Leaving an abusive relationship is the most dangerous time.
Getting help from professionals would be critical, and I would recommend your
local domestic violence program. 
Whatever you decide to do is the right thing for you. I
would encourage you to ask yourself honestly about your reasons for staying and
the barriers that may keep you from going. You do deserve to be happy and
emotionally safe. If you do not feel like you have that safety, then seeking
someone to help you sort through these things is a good plan. 
I wish you well.
Robin J. Landwehr, DBH, LPC, NCC"
2752,"After I told them, they yelled at me.","Hello, and thank you for your question. I am very sorry that this was your experience with your family. I truly wish I could give you some things to say to them that would change their reaction, but unfortunately I can't do that. Their acceptance of you is a journey, just like coming out is a journey for you. Sometimes families initially respond this way, but after time they become more accepting and even supportive. Unfortunately, there is no way to know for sure if that will happen. So, here are a few things I would suggest:Surround yourself with people and things that remind you that you really are okay as you are. That won't take the place of your family's acceptance, and I won't even pretend that it would, but it may help during those days when it hurts the most. And that is really important. Patience is not something that many of us are really good at, but this type of situation sometimes forces you to have some. When families first learn something like this, they may go through a period of shock. And then sometimes even grieving. They may even be worried if they are of a particular religion where being bisexual is forbidden. These things can take time for them to reconcile, so it may just take some patience. If it is safe for you, try to talk to them, but if it becomes painful or hurtful then you have the right to walk away. I do recommend setting up some personal boundaries for yourself, and perhaps learn some assertiveness skills if you feel you struggle with them. The reason I feel that this is important is that people sometimes take a lot of abuse from family members and friends in times like you're describing. They may want to be accepted so much that they put themselves in hurtful positions over and over again hoping that their families will come around. They may, or they may not. And if they don't, you deserve to live a life free of abuse and to feel confident and assured of who you are. To be surrounded by folks who remind you of that. If you start seeing this pattern and you are struggling, chatting with counselor may be a great idea. I am bias probably, but I think chatting with a counselor is ALWAYS a good idea. :) Hope this helps. Be well. Be you. Robin J. Landwehr, DBH, LPC, NCC "
1331,"I have bipolar II disorder, I'm addicted to alcohol and weed, and I'm hopeless. I keep drinking even though it's harming myself and others.","Anyone who wants to change their life path, eventually will be successful in this.  How to stop abusing alcohol involves a few steps, most of them time consuming, with slow progress and very often with tremendous emotional pain.The basic path is to figure out what motivates you to drink too much and be addicted to weed.  Almost always, addictions are rooted in the person having suffered feeling deeply ignored, humiliated, shamed, invisible, nothing very pleasant, since a very young age, usually starting around 18 months.Most often addicts are sensitive people who have been emotionally overburdened by the grownups in their family.With no outlet for emotional expression or nurturing, the frustration goes inward until the emotional pain feels very big and without an outlet.So, people mask and numb by substances, whether this is food, chocolate, work, alcohol, weed.Therapy that is humanistic based, is a better fit than one which is drug oriented and diagnosis oriented.If you'd like getting serious about knowing who you are, including any unfair treatment of you during your growing up years, you can do this.Once you have a stronger self-respect and awareness, you would naturally avoid substances because they harm people.  Harming oneself is the opposite of self-respect.Also, about your diagnosis, it may not be true at all.  the US healthcare system loves selling drugs to people and clinicians in agencies and clinics are encouraged to find something wrong with people in order to find a new customer who will take drugs.See if you can find a therapist who is independent minded, and therefore free to interact therapeutically with you as a human being, not as a potential customer if they are able to label you as having something ""wrong"".This simply continues the long line of being shamed by others that created the addiction problem in the first place.Good luck!"
1747,"I'm a teenager, and I created a sort of imaginary friend to help me cope with stressful situations or if I'm worried or upset. She ""gives me advice"" and comforts me and tells me it'll be okay. I've given her a name (Solace) and created a personality for her that's like a comforting motherly figure. I know it's just my own advice and my own thoughts, but it's just that I'm thinking of them through a voice other than my own. I do this because I know I never really listen to my own advice, and I thought it would be better if it was through someone else who knew my thought process in and out, through this imaginary friend. Is this normal? Could it develop into a separate personality with time if I continue a mentality that she is her own person?","Since you are saying that you know that the thoughts are yours and your thinking of them in a different person's voice to make them easier for you to follow through on, it doesn't sound like it could develop into another personality.It may be helpful to also find other things that give you comfort and to practice telling yourself that it will be okay in your own voice. If you start to do that slowly, it may be more comfortable for you. If you're following following through with your own advice, it sounds like some part of you knows that you are making choices that you agree with.What else gives you comfort? Maybe there's a room that you like to be in when you are home or a certain outfit or color that makes you feel good. Focusing on these things may also be comforting to you."
